document_id,data_citation_label,type,pages
10.1021_acsomega.3c06074,CHEMBL2424928,Secondary,[19]
10.1021_acsomega.3c06074,CHEMBL3422978,Secondary,[19]
10.1021_acsomega.3c06074,CHEMBL390649,Secondary,[19]
10.1021_acsomega.3c06074,CHEMBL572163,Secondary,[19]
10.1021_acsomega.3c06074,CHEMBL70,Secondary,[11 12 19]
10.1021_jacs.2c06519,https://doi.org/10.25377/sussex.21184705,Primary,[4]
10.1021_jacs.2c06519,https://doi.org/10.25377/sussex.21184705.v1,Primary,[4]
10.1029_2018gl078007,https://doi.org/10.5061/dryad.886pr72,Primary,[8]
10.1029_2019jg005297,https://doi.org/10.5061/dryad.pp045j3,Primary,[12]
10.1029_2019jg005297,https://doi.org/10.5066/f78s4n1v,Secondary,[14]
10.1029_2019pa003774,https://doi.org/10.3334/cdiac/otg.ndp093_glodapv2,Secondary,[17]
10.1029_2020jf005675,https://doi.org/10.5066/p9bu8faq,Primary,[15]
10.1029_2021ea001703,https://doi.org/10.13020/jjdx-1m95,Secondary,[17]
10.1029_2021gl096173,https://doi.org/10.25326/09,Secondary,[10]
10.1029_2021pa004379,https://doi.org/10.25921/dt5g-my32,Primary,[11]
10.1029_2023ea002840,https://doi.org/10.1594/pangaea.964081,Primary,[13]
10.1029_2023ea002840,https://doi.org/10.1594/pangaea.964085,Primary,[13 14]
10.1029_2023wr035126,https://doi.org/10.6073/pasta/bb935444378d112d9189556fd22a441d,Secondary,[17]
10.1038_hdy.2013.74,https://doi.org/10.5061/dryad.75030,Primary,[6]
10.1038_hdy.2014.75,https://doi.org/10.5061/dryad.1p80f,Primary,[9]
10.1038_hdy.2015.99,https://doi.org/10.5061/dryad.f47f6,Primary,[8]
10.1038_s41396-020-00885-8,IPR000884,Secondary,[6]
10.1038_s41396-020-00885-8,IPR001124,Secondary,[6]
10.1038_s41396-020-00885-8,IPR001577,Secondary,[6]
10.1038_s41396-020-00885-8,IPR002477,Secondary,[6]
10.1038_s41396-020-00885-8,IPR002889,Secondary,[6]
10.1038_s41396-020-00885-8,IPR004007,Secondary,[6]
10.1038_s41396-020-00885-8,IPR004302,Secondary,[6]
10.1038_s41396-020-00885-8,IPR004785,Secondary,[6]
10.1038_s41396-020-00885-8,IPR004911,Secondary,[6]
10.1038_s41396-020-00885-8,IPR004963,Secondary,[6]
10.1038_s41396-020-00885-8,IPR004981,Secondary,[6]
10.1038_s41396-020-00885-8,IPR005524,Secondary,[6]
10.1038_s41396-020-00885-8,IPR006201,Secondary,[6]
10.1038_s41396-020-00885-8,IPR008139,Secondary,[6]
10.1038_s41396-020-00885-8,IPR009613,Secondary,[6]
10.1038_s41396-020-00885-8,IPR011040,Secondary,[6]
10.1038_s41396-020-00885-8,IPR011124,Secondary,[6]
10.1038_s41396-020-00885-8,IPR012338,Secondary,[6]
10.1038_s41396-020-00885-8,IPR016201,Secondary,[6]
10.1038_s41396-020-00885-8,IPR017920,Secondary,[6]
10.1038_s41396-020-00885-8,IPR021345,Secondary,[6]
10.1038_s41396-020-00885-8,IPR028730,Secondary,[6]
10.1038_s41396-020-00885-8,IPR029723,Secondary,[6]
10.1038_s41396-020-00885-8,IPR029787,Secondary,[6]
10.1038_s41396-020-00885-8,IPR033396,Secondary,[6]
10.1038_s41396-020-00885-8,IPR036452,Secondary,[6]
10.1038_s41396-020-00885-8,PF00348,Secondary,[4]
10.1038_s41396-020-00885-8,PF00484,Secondary,[4]
10.1038_s41396-020-00885-8,PF01493,Secondary,[4]
10.1038_s41396-020-00885-8,PF05834,Secondary,[4]
10.1038_s41396-020-00885-8,PF15461,Secondary,[4]
10.1038_s41437-020-0318-8,https://doi.org/10.5061/dryad.rxwdbrv58,Primary,[8]
10.1038_s41467-018-04041-x,https://doi.org/10.1594/pangaea.876062,Primary,[10]
10.1038_s41467-018-07681-1,https://doi.org/10.5281/zenodo.1472500,Primary,[7]
10.1038_s41562-021-01247-w,https://doi.org/10.34973/983b-a047,Primary,[10 23]
10.1038_s41597-019-0101-y,GSE130386,Primary,[3 6]
10.1038_s41597-019-0101-y,SRP184152,Primary,[3 6]
10.1038_s41597-022-01555-4,https://doi.org/10.7937/k9/tcia.2016.hdhpgjlk,Secondary,[6]
10.1038_s41597-022-01555-4,https://doi.org/10.7937/q1ee-j082,Secondary,[6]
10.1038_s41597-022-01555-4,https://doi.org/10.7937/tcia.e3sv-re93,Secondary,[6]
10.1038_s41597-022-01555-4,https://doi.org/10.7937/tcia.xc7a-qt20,Primary,[3 4 7]
10.1038_s41597-023-02280-2,EMPIAR-10005,Secondary,[4]
10.1038_s41597-023-02280-2,EMPIAR-10017,Secondary,[ 4 11 15]
10.1038_s41597-023-02280-2,EMPIAR-10028,Secondary,[15]
10.1038_s41597-023-02280-2,EMPIAR-10081,Secondary,[15 16]
10.1038_s41597-023-02280-2,EMPIAR-10093,Secondary,[4]
10.1038_s41597-023-02280-2,EMPIAR-10345,Secondary,[16 17 18 19 20]
10.1038_s41597-023-02280-2,EMPIAR-10387,Secondary,[4]
10.1038_s41597-023-02280-2,EMPIAR-10406,Secondary,[17 18 19 20]
10.1038_s41597-023-02280-2,EMPIAR-10532,Secondary,[4]
10.1038_s41597-023-02280-2,EMPIAR-10590,Secondary,[ 4 14]
10.1038_s41597-023-02280-2,EMPIAR-10852,Secondary,[4]
10.1038_s41597-023-02280-2,EMPIAR-11057,Secondary,[4]
10.1038_s41598-020-59839-x,ENSBTAG00000011038,Secondary,[10]
10.1038_s41598-020-59839-x,ENSBTAG00000013718,Secondary,[10]
10.1038_s41598-020-59839-x,ENSBTAG00000017121,Secondary,[10]
10.1038_s41598-020-59839-x,ENSBTAG00000017131,Secondary,[10]
10.1038_s41598-020-59839-x,ENSBTAG00000021275,Secondary,[10]
10.1038_s41598-020-59839-x,ENSBTAG00000047833,Secondary,[10]
10.1038_s41598-020-59839-x,ENSOARG00000003950,Secondary,[ 8 10]
10.1038_s41598-020-59839-x,ENSOARG00000012128,Secondary,[ 8 10]
10.1038_s41598-020-59839-x,ENSOARG00000012835,Secondary,[ 8 10]
10.1038_s41598-020-59839-x,ENSOARG00000013782,Secondary,[ 8 10]
10.1038_s41598-020-59839-x,ENSOARG00000013966,Secondary,[ 8 10]
10.1038_s41598-020-59839-x,ENSOARG00000014129,Secondary,[ 8 10]
10.1038_s41598-020-59839-x,IPR000264,Secondary,[8]
10.1038_s41598-020-59839-x,IPR002172,Secondary,[8]
10.1038_s41598-020-59839-x,IPR014760,Secondary,[8]
10.1038_s41598-020-59839-x,IPR020857,Secondary,[8]
10.1038_s41598-020-59839-x,IPR020858,Secondary,[8]
10.1038_s41598-020-59839-x,IPR021177,Secondary,[8]
10.1038_s41598-020-59839-x,IPR023415,Secondary,[8]
10.1038_s41598-020-59839-x,NM_001078656,Secondary,[10]
10.1038_s41598-021-85671-y,https://doi.org/10.7937/k9/tcia.2017.8oje5q00,Secondary,[10]
10.1038_s41598-021-85671-y,https://doi.org/10.7937/tcia.2019.8dho2gls,Secondary,[10 11]
10.1038_s41598-021-85671-y,https://doi.org/10.7937/tcia.2019.8kap372n,Secondary,[10 11]
10.1038_s41598-024-56373-y,BX119912,Secondary,[4]
10.1038_s41598-024-56373-y,CP001848,Secondary,[4]
10.1038_s41598-024-56373-y,CP130886,Secondary,[ 3 12]
10.1038_s41598-024-56373-y,STH00996,Secondary,[ 1 11]
10.1038_sdata.2017.167,https://doi.org/10.5061/dryad.sm847,Primary,[10]
10.1039_d1ee03696c,https://doi.org/10.3334/cdiac/00001_v2017,Secondary,[8]
10.1039_d2cc00847e,https://doi.org/10.5281/zenodo.6010342,Primary,[4]
10.1073_pnas.1323607111,https://doi.org/10.5061/dryad.v2t58,Primary,[1]
10.1073_pnas.1705601114,https://doi.org/10.5061/dryad.7248c,Primary,[1]
10.1073_pnas.1711872115,https://doi.org/10.5281/zenodo.1135372,Primary,[1 9]
10.1073_pnas.1915395117,https://doi.org/10.6073/pasta/1a5760c3146c574c98db854ad6d3addc,Primary,[8]
10.1073_pnas.1915395117,https://doi.org/10.6073/pasta/57108aaeede00e77cac110bc5366a92b,Primary,[2 8]
10.1073_pnas.1915395117,https://doi.org/10.6073/pasta/721fdcde85b630d1b4548b677d9b1d86,Primary,[8]
10.1073_pnas.2306723120,https://doi.org/10.15468/dl.a2a348,Primary,[8]
10.1073_pnas.2306723120,https://doi.org/10.15468/dl.k8zeq6,Primary,[8]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.2a5f6c,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.6qzmh7,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.92jj3s,Secondary,[14]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.ah5fq7,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.be7krr,Secondary,[14]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.cb2hsf,Secondary,[14]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.dcatgu,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.gtnw2a,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.nvnscr,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.qgemaq,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.qm4v2t,Secondary,[14]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.sz5x6g,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.txwcpa,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.ucepps,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.waw9qx,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.yc59mu,Secondary,[15]
10.1080_19475683.2023.2226196,https://doi.org/10.15468/dl.zrhwa2,Secondary,[15]
10.1093_beheco_arad016,https://doi.org/10.5061/dryad.rxwdbrvdc,Primary,[8]
10.1093_beheco_arw167,https://doi.org/10.5061/dryad.12np0,Primary,[10]
10.1093_beheco_arz101,https://doi.org/10.5061/dryad.4dj6042,Primary,[9]
10.1093_bib_bbab395,https://doi.org/10.5281/zenodo.4923158,Primary,[8]
10.1093_evolut_qpad206,https://doi.org/10.5061/dryad.d2547d87h,Primary,[14]
10.1093_nar_gkp1049,3.10.180.10,Secondary,[5]
10.1093_nar_gkp1049,3.20.20.120,Secondary,[5]
10.1093_nar_gkp1049,3.20.20.140,Secondary,[ 5  6  7 14]
10.1093_nar_gkp1049,3.30.450.20,Secondary,[ 6 14]
10.1093_nar_gkp1049,3.30.450.40,Secondary,[ 6 14]
10.1093_nar_gkp1049,3.30.930.10,Secondary,[ 6 14 15]
10.1093_nar_gkp1049,3.40.30.10,Secondary,[ 6 14]
10.1093_nar_gkp1049,3.40.50.1000,Secondary,[ 5  6  7 14]
10.1093_nar_gkp1049,3.40.50.1820,Secondary,[ 6 14]
10.1093_nar_gkp1049,3.40.50.620,Secondary,[ 6 14]
10.1093_nar_gkp1049,3.40.630.30,Secondary,[ 6 14]
10.1093_nar_gkp1049,3.90.1200.10,Secondary,[ 6 14]
10.1093_nar_gkp1049,3.90.226.10,Secondary,[ 5  6  7 14]
10.1093_nar_gkp1049,3.90.228.10,Secondary,[14]
10.1093_nar_gkp1049,PF00106,Secondary,[6]
10.1093_nar_gkp1049,PF03372,Secondary,[11]
10.1093_sysbio_syy011,https://doi.org/10.5061/dryad.739bs,Primary,[ 3 15]
10.1098_rsbl.2015.0113,https://doi.org/10.5061/dryad.1h7p0,Primary,[3]
10.1098_rsos.160417,https://doi.org/10.5061/dryad.2bs69,Primary,[16 17]
10.1098_rsos.170796,https://doi.org/10.5061/dryad.2g5f9,Primary,[10 12]
10.1098_rsos.190841,https://doi.org/10.5061/dryad.3b65k44,Primary,[6 7]
10.1098_rsos.210982,https://doi.org/10.5061/dryad.fxpnvx0pn,Primary,[8 9]
10.1098_rspb.2015.0371,https://doi.org/10.5061/dryad.kh7nt,Primary,[7]
10.1098_rspb.2015.1498,https://doi.org/10.5061/dryad.rj7g1,Primary,[8]
10.1098_rspb.2015.2726,https://doi.org/10.5061/dryad.2fp25,Primary,[5]
10.1098_rspb.2015.2764,https://doi.org/10.5061/dryad.447sq,Primary,[7]
10.1101_096297,https://doi.org/10.5281/zenodo.817658,Primary,[38]
10.1101_2022.02.10.480011,https://doi.org/10.15482/usda.adc/1524676,Primary,[10]
10.1101_2022.07.21.501061,https://doi.org/10.15468/dl.354f8k,Primary,[24]
10.1101_2022.07.21.501061,https://doi.org/10.15468/dl.nbku3v,Primary,[24]
10.1101_2022.07.21.501061,https://doi.org/10.15468/dl.pdjqte,Primary,[24]
10.1101_2022.07.21.501061,https://doi.org/10.15468/dl.uejpg6,Primary,[24]
10.1103_physrevresearch.4.023008,https://doi.org/10.5291/ill-data.5-31-2380,Primary,[14]
10.1107_s2059798322005691,https://doi.org/10.18150/6oxplo,Primary,[ 5 15]
10.1107_s2059798322005691,https://doi.org/10.18150/lienz5,Primary,[ 5 15]
10.1107_s2059798322005691,https://doi.org/10.18150/r8vj7v,Primary,[ 5 15]
10.1107_s2059798322005691,https://doi.org/10.18150/vaojlj,Primary,[ 5 15]
10.1107_s2059798322005691,https://doi.org/10.18150/vazz2f,Primary,[ 5 15]
10.1107_s2059798322005691,https://doi.org/10.18150/wefsc9,Primary,[ 5 15]
10.1107_s2059798322005691,https://doi.org/10.18150/xsexuf,Primary,[ 5 15]
10.1109_access.2024.3385658,https://doi.org/10.5281/zenodo.10908593,Primary,[20]
10.1111_1365-2435.13087,https://doi.org/10.5061/dryad.hs20gv7,Primary,[11 12]
10.1111_1365-2435.13431,https://doi.org/10.5061/dryad.d84hg87,Primary,[11 12]
10.1111_1365-2435.13569,https://doi.org/10.5061/dryad.9s4mw6mbw,Primary,[7]
10.1111_1365-2656.12382,https://doi.org/10.5061/dryad.r390f,Primary,[5 6]
10.1111_1365-2656.12491,https://doi.org/10.5061/dryad.h5j86,Primary,[ 9 10]
10.1111_1365-2656.12501,https://doi.org/10.5061/dryad.m02hm,Primary,[7 8]
10.1111_1365-2664.13128,https://doi.org/10.5061/dryad.n3k9f,Primary,[10 11]
10.1111_1365-2664.13136,https://doi.org/10.5061/dryad.bn7p2f5,Primary,[ 8 10]
10.1111_1365-2664.13168,https://doi.org/10.5061/dryad.j8cm402,Primary,[ 9 10]
10.1111_1365-2664.13446,https://doi.org/10.5061/dryad.6d66b49,Primary,[10 11]
10.1111_1365-2745.13449,https://doi.org/10.5061/dryad.r7sqv9s8n,Primary,[11 12]
10.1111_2041-210x.12453,https://doi.org/10.5061/dryad.h4f7p,Primary,[10]
10.1111_2041-210x.13817,https://doi.org/10.5061/dryad.fn2z34tw7,Primary,[ 9 10]
10.1111_acel.13089,rs33912345,Primary,[12]
10.1111_cas.12935,CAB004592,Secondary,[4]
10.1111_cas.12935,CAB010055,Secondary,[4]
10.1111_cas.12935,HPA001426,Secondary,[4]
10.1111_cas.12935,HPA001522,Secondary,[4]
10.1111_cas.12935,HPA001612,Secondary,[4]
10.1111_cas.12935,HPA003156,Secondary,[4]
10.1111_cas.12935,HPA003927,Secondary,[4]
10.1111_cas.12935,HPA007450,Secondary,[4]
10.1111_cas.12935,HPA008063,Secondary,[4]
10.1111_cas.12935,HPA030827,Secondary,[4]
10.1111_cas.12935,HPA042865,Secondary,[4]
10.1111_cas.12935,O75787,Secondary,[4]
10.1111_cas.12935,P17900,Secondary,[4]
10.1111_cas.12935,P21741,Secondary,[4]
10.1111_cas.12935,P23142,Secondary,[4]
10.1111_cas.12935,P24593,Secondary,[4]
10.1111_cas.12935,P24821,Secondary,[4]
10.1111_cas.12935,P51884,Secondary,[4]
10.1111_cas.12935,P53004,Secondary,[4]
10.1111_cas.12935,Q08629,Secondary,[4]
10.1111_cas.12935,Q12907,Secondary,[4]
10.1111_cas.12935,Q96AG4,Secondary,[4]
10.1111_cas.12935,Q99538,Secondary,[4]
10.1111_ejn.13855,https://doi.org/10.5281/zenodo.1158410,Primary,[9]
10.1111_eva.12151,https://doi.org/10.5061/dryad.3978f,Primary,[14]
10.1111_eva.12446,https://doi.org/10.5061/dryad.7g2c9,Primary,[14]
10.1111_eva.12768,https://doi.org/10.5061/dryad.rf79641,Primary,[12]
10.1111_evo.13972,https://doi.org/10.5061/dryad.3xsj3txbz,Primary,[ 1 33]
10.1111_gcb.13914,https://doi.org/10.15131/shef.data.5414629,Primary,[10]
10.1111_ggr.12517,https://doi.org/10.5281/zenodo.7804445,Primary,[17]
10.1111_mec.16743,https://doi.org/10.5061/dryad.g1jwstqsg,Primary,[10]
10.1111_mec.16743,https://doi.org/10.5066/p93r9uel,Secondary,[11]
10.1111_mec.16977,https://doi.org/10.5061/dryad.4mw6m90cz,Primary,[12]
10.1111_njb.02077,https://doi.org/10.5061/dryad.2gh0ht2,Primary,[ 4 11]
10.1128_JVI.01717-21,EPI_ISL_291131,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_293286,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_293287,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_293288,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_293289,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_293290,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_293291,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_332358,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_332395,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_332396,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_332399,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_332401,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_376123,Primary,[8]
10.1128_JVI.01717-21,EPI_ISL_445001,Primary,[ 3  8 12]
10.1128_JVI.01717-21,EPI_ISL_445002,Primary,[3]
10.1128_JVI.01717-21,EPI_ISL_445051,Primary,[3]
10.1128_JVI.01717-21,EPI_ISL_445052,Primary,[3]
10.1128_JVI.01717-21,EPI_ISL_445089,Primary,[3]
10.1128_JVI.01717-21,EPI_ISL_445090,Primary,[3]
10.1128_JVI.01717-21,EPI_ISL_445091,Primary,[3]
10.1128_JVI.01717-21,EPI_ISL_445092,Primary,[3]
10.1128_JVI.01717-21,EPI_ISL_445093,Primary,[ 3  8 12]
10.1128_spectrum.00422-24,K02388,Secondary,[4]
10.1128_spectrum.00422-24,K02389,Secondary,[4]
10.1128_spectrum.00422-24,K02390,Secondary,[4]
10.1128_spectrum.00422-24,K02391,Secondary,[4]
10.1128_spectrum.00422-24,K02396,Secondary,[4]
10.1128_spectrum.00422-24,K02397,Secondary,[4]
10.1128_spectrum.00422-24,K02398,Secondary,[5]
10.1128_spectrum.00422-24,K02400,Secondary,[4]
10.1128_spectrum.00422-24,K02401,Secondary,[4]
10.1128_spectrum.00422-24,K02404,Secondary,[5]
10.1128_spectrum.00422-24,K02405,Secondary,[4]
10.1128_spectrum.00422-24,K02407,Secondary,[4]
10.1128_spectrum.00422-24,K02409,Secondary,[4]
10.1128_spectrum.00422-24,K02410,Secondary,[4]
10.1128_spectrum.00422-24,K02412,Secondary,[4]
10.1128_spectrum.00422-24,K02413,Secondary,[4]
10.1128_spectrum.00422-24,K02414,Secondary,[4]
10.1128_spectrum.00422-24,K02417,Secondary,[4]
10.1128_spectrum.00422-24,K02418,Secondary,[4]
10.1128_spectrum.00422-24,K02422,Secondary,[4]
10.1128_spectrum.00422-24,PF00248,Secondary,[16]
10.1128_spectrum.00422-24,PF00356,Secondary,[16]
10.1128_spectrum.00422-24,PF01052,Secondary,[9]
10.1128_spectrum.00422-24,PF02154,Secondary,[9]
10.1128_spectrum.00422-24,PF03748,Secondary,[9]
10.1128_spectrum.00422-24,PF03963,Secondary,[9]
10.1128_spectrum.00422-24,PF04347,Secondary,[9]
10.1128_spectrum.00422-24,PF04509,Secondary,[4 9]
10.1128_spectrum.00422-24,PF13377,Secondary,[16]
10.1130_ges01387.1,https://doi.org/10.5066/f7qn64xq,Secondary,[35]
10.1136_jitc-2021-003114,CVCL_0213,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_0395,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_0530,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_0627,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_1916,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_1917,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_1918,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_1919,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_2213,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_2235,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_3967,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_6245,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_7151,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_D615,Secondary,[2]
10.1136_jitc-2021-003114,CVCL_KS61,Secondary,[2]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr25104.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr27646.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr30765.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr30770.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr33525.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr33530.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr34584.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr34585.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr35020.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr35035.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36119.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36120.v2,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36395.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36398.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36791.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr36795.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr37062.v1,Secondary,[10]
10.1145_3461702.3462538,https://doi.org/10.3886/icpsr37065.v2,Secondary,[10]
10.1177_0018720820970751,https://doi.org/10.4121/13077797,Primary,[15]
10.1186_s13039-022-00631-z,GSE67047,Secondary,[ 9 13]
10.1186_s13039-022-00631-z,GSE87048,Secondary,[ 9 13]
10.1186_s13071-018-2842-4,https://doi.org/10.17638/datacat.liverpool.ac.uk/417,Primary,[8]
10.1212_wnl.0000000000006035,https://doi.org/10.5061/dryad.tq61224,Primary,[2 3 4 5 6]
10.1242_bio.035071,https://doi.org/10.5061/dryad.dk5gt88,Primary,[6 7]
10.1242_dev.138545,https://doi.org/10.5061/dryad.fj0qj,Primary,[10 11]
10.1242_jeb.211466,https://doi.org/10.5061/dryad.gtht76hhb,Primary,[11]
10.12688_f1000research.10556.1,https://doi.org/10.5256/f1000research.10556.d148743,Primary,[3 5]
10.12688_f1000research.10556.1,https://doi.org/10.5256/f1000research.10556.d148744,Primary,[3 5]
10.12688_f1000research.11698.1,https://doi.org/10.5256/f1000research.11698.d163781,Primary,[6 7]
10.12688_f1000research.11698.1,https://doi.org/10.5256/f1000research.11698.d163782,Primary,[6 7]
