feature,correlation_pearson,p_value_pearson,correlation_spearman,p_value_spearman,correlation_difference
LEIDEN_cluster_38,0.07743003275258604,0.04172610847415944,0.05225951674367516,0.16969442340368876,0.025170516008910883
LEIDEN_cluster_27,0.16477340793795162,1.3216678047994655e-05,0.14019843177336969,0.00021588443468922785,0.02457497616458193
LEIDEN_cluster_48,-0.004460215287732092,0.9067662196295863,-0.028009785329502334,0.4619530543397251,0.023549570041770242
total_char_length,0.2277235235135083,1.366046243459893e-09,0.25078143461193453,2.1963522103874157e-11,0.023057911098426226
clean_text_length,0.2270523684199287,1.5307684264796133e-09,0.2496917034876864,2.695803134979518e-11,0.0226393350677577
LEIDEN_cluster_0,0.2606114813589579,3.30946187060828e-12,0.2390811198507669,1.8843353231516299e-10,0.021530361508190987
LEIDEN_cluster_10,-0.12204565357915825,0.001296523770088228,-0.10222412887969351,0.0071176568850856645,0.019821524699464743
avg_tokens_per_chunk,-0.12832539082169248,0.0007153949850711969,-0.1087624359594397,0.0041777106601942615,0.019562954862252777
LEIDEN_cluster_21,-0.03770142518317823,0.3220134481813288,-0.05683437359493094,0.13528452648418615,0.019132948411752705
LEIDEN_cluster_49,-0.2819871688454168,4.0796623956044035e-14,-0.26355511111883206,1.8485572835967257e-12,0.01843205772658474
PCA_2,-0.06871394959525384,0.07084815906020372,-0.05216958736755604,0.17043104072814658,0.016544362227697805
LEIDEN_cluster_52,-0.2891787125616762,8.510243481647902e-15,-0.27406532146665175,2.177105277900246e-13,0.015113391095024464
LEIDEN_cluster_44,0.2965089793690429,1.6436018525106812e-15,0.31132199883047335,5.1144891302464586e-17,0.014813019461430432
LEIDEN_cluster_58,0.09514981807492112,0.012274271710356837,0.10940037584661506,0.00396007897591875,0.014250557771693942
LEIDEN_cluster_29,-0.2650107276552328,1.382281011420495e-12,-0.2770554239838124,1.164484359918127e-13,0.012044696328579574
LEIDEN_cluster_24,0.15283259686817607,5.416948207364433e-05,0.14093100689007407,0.00019986167916048248,0.011901589978102006
LEIDEN_cluster_32,0.10858347870576061,0.004240676407963381,0.11880424826308529,0.001743925937089488,0.010220769557324677
LEIDEN_cluster_26,-0.07824377539114383,0.03961829770276019,-0.08808094489925966,0.02048388819694431,0.009837169508115834
LEIDEN_cluster_18,-0.023166922066080856,0.5429179228524403,-0.03258464129550404,0.3920831247793761,0.009417719229423187
LEIDEN_cluster_42,-0.1379937161010953,0.00027166820183785755,-0.12892574528367406,0.0006749114023374544,0.009067970817421223
LEIDEN_cluster_20,-0.30615536429203194,1.7548360880102304e-16,-0.297522675713777,1.3043868648737555e-15,0.008632688578254943
LEIDEN_cluster_54,0.315213374659897,1.988392717964387e-17,0.3067321914666318,1.5310268611275583e-16,0.00848118319326524
LEIDEN_cluster_2,-0.1013643364984319,0.007618287327270743,-0.10943027290780895,0.003950136329131668,0.008065936409377042
LEIDEN_cluster_6,-0.0010228016224944902,0.9785737302316977,0.00609233365802748,0.872899959784742,0.00711513528052197
LEIDEN_cluster_3,0.3481647831532454,3.7584795763008894e-21,0.3412379714244335,2.4861638367674678e-20,0.006926811728811877
total_tokens,0.11328893335208054,0.0028414269657959755,0.11959430449931646,0.00162342122716342,0.006305371147235922
LEIDEN_cluster_4,0.2646330094056152,1.4908289408424919e-12,0.27061175060868625,4.4423663463646234e-13,0.00597874120307107
LEIDEN_cluster_57,0.07404348562557597,0.05154291518009042,0.06816686213496978,0.07312765067965009,0.005876623490606192
LEIDEN_cluster_35,-0.3695431408867976,8.138379492925892e-24,-0.3751756380844389,1.494294129074781e-24,0.005632497197641251
LEIDEN_cluster_8,-0.164372582634683,1.3880538649691292e-05,-0.16062083051100362,2.183706498987026e-05,0.0037517521236793694
LEIDEN_cluster_12,0.3204686817845076,5.428975542038178e-18,0.31679387783027435,1.3493373254559506e-17,0.0036748039542332522
LEIDEN_cluster_47,0.32311827801110926,2.7939738807753845e-18,0.3198437794184316,6.3436985544020786e-18,0.0032744985926776438
LEIDEN_cluster_30,0.14412964767679115,0.00014209889824479818,0.14724012320128302,0.00010128709530988513,0.003110475524491868
LEIDEN_cluster_43,-0.053030467195569156,0.16347698187916343,-0.05577288720133891,0.14274526518131636,0.002742420005769755
LEIDEN_cluster_53,0.33022548972720867,4.551470292128955e-19,0.32766290908675627,8.804380673907284e-19,0.0025625806404523943
LEIDEN_cluster_17,0.1877664936114928,6.533247882235987e-07,0.19020789637288144,4.640012001086349e-07,0.002441402761388628
LEIDEN_cluster_31,-0.2657403325533528,1.1940734225419825e-12,-0.26811501745750205,7.39250207646121e-13,0.0023746849041492712
LEIDEN_cluster_40,-0.25319736540827464,1.389660240809434e-11,-0.2509966805467574,2.108993262490626e-11,0.0022006848615172547
LEIDEN_cluster_34,-0.10529470181882913,0.005561480481351104,-0.10672423409375628,0.004947516444774667,0.0014295322749271477
LEIDEN_cluster_28,-0.028211587994804034,0.4587317489177564,-0.026873545642885306,0.48032368921926305,0.0013380423519187279
LEIDEN_cluster_37,0.4488442912110166,1.3180675764039445e-35,0.4475211684871407,2.2058137867019363e-35,0.0013231227238759136
LEIDEN_cluster_16,-0.16140565830381304,1.9878844999202857e-05,-0.16271389930700542,1.6980458906427043e-05,0.0013082410031923786
LEIDEN_cluster_22,0.05861485826027309,0.1234499138587964,0.057761305375250746,0.1290186191196271,0.0008535528850223406
LEIDEN_cluster_51,-0.21188617294693443,1.8252292518196067e-08,-0.21131801440298323,1.9958736749484678e-08,0.0005681585439512027
LEIDEN_cluster_33,-0.3597182302161588,1.4460741587325309e-22,-0.35965700602037515,1.4717789706916472e-22,6.122419578363791e-05
